fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240512 185320	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	152	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.215223380342699	0.689924877236917	865	1426	10421	61644046.4767616	1
20240512 185750	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	165	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.2469241500367	0.746366422220416	576	1398	11762	62317478.2608696	2
20240512 190146	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	65	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.354602035383513	0.837290394459013	1179	357	10498	57959133.4332834	3
20240512 190514	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	79	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.329224669078535	0.653477375371916	988	1177	15742	53874269.8650675	4
20240512 190933	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	625	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.426592347396353	0.759705910172507	346	329	11525	58046469.2653673	5
20240512 191532	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	301	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.119148656067653	0.789486602778363	1033	982	15040	61216491.7541229	6
20240512 192004	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	355	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.465174386349104	0.578475300041694	244	1564	10355	56406064.4677661	7
20240512 193103	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	450	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.0365619891544091	0.814183327666282	1520	217	12201	63819128.9355322	8
20240512 194451	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	761	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.057677345189007	0.603007159300728	1898	1826	12458	63949658.1709145	9
20240512 195302	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	193	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.150608478073628	0.504200969007519	1687	525	13537	62853347.826087	10
20240512 195818	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	269	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.2922685909392	0.553309789198319	669	803	14165	61564370.3148426	11
20240512 200234	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	263	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.177338148843575	0.87007284656287	1545	1690	11342	61845844.077961	12
20240512 200544	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	102	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.260805899311702	0.892138967270708	460	901	11455	58177908.5457271	13
20240512 201055	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	425	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.471588406553582	0.54515242872683	1402	1937	13104	57081463.2683658	14
20240512 201230	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	328	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.104123421173466	0.633408782898688	41	1113	14659	61643629.6851574	15
20240512 201619	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	160	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.385514921801422	0.717914799438156	2034	605	12048	58198068.9655172	16
